物件名,平米単価,家賃,管理費・共益費,敷金,礼金,保証金,敷引・償却,部屋の特徴・設備,所在地,駅徒歩,間取り,間取り詳細,専有面積,バルコニー面積,階,向き,建物種別,構造,階建,築年数,築年月,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,契約期間,仲介手数料,保証会社,ほか初期費用,ほか諸費用,備考,URL
アンゼリカ,1732.026144,53000,5000円,5.3万円,-,-,-,バストイレ別、バルコニー、エアコン、フローリング、シャワー付洗面台、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、シューズボックス、追焚機能浴室、角住戸、温水洗浄便座、エレベーター、洗面所独立、CATV、礼金不要、IHクッキングヒーター、照明付、保証人不要、敷金1ヶ月、駅徒歩10分以内、敷地内ごみ置き場、東南向き、都市ガス、全室照明付,大分県大分市大道町１,ＪＲ日豊本線/大分駅 歩7分,1K,洋7 K2.0,30.6,-,1階,南東,マンション,鉄筋コン,1階/6階建,築7年,2017年7月,要,-,24年7月中旬,仲介,-,401219,100384389661,23戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 契約時保証委託料：10，000円　月額保証委託料：賃料総額の1％,-,町費400円／月,抗菌施工17050円／入居時、保険加入義務有,https://suumo.jp/chintai/jnc_000029879711/?bc=100384389661
アンゼリカ,1732.026144,53000,5500円,5.3万円,-,-,-,バストイレ別、バルコニー、シャワー付洗面台、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、追焚機能浴室、角住戸、温水洗浄便座、エレベーター、洗面所独立、CATV、礼金不要、IHクッキングヒーター、保証人不要、敷金1ヶ月、バイク置場、耐震構造、駅徒歩10分以内、都市ガス、保証会社利用可,大分県大分市大道町１,"ＪＲ久大本線/大分駅 歩8分
大分バス/上野の森口 歩7分",1K,洋7 K,30.6,-,1階,南西,マンション,鉄筋コン,1階/6階建,築7年,2017年7月,要,-,24年7月中旬,仲介,-,75404510,100384069932,23戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 １０，０００円／入居時、以降は月額賃料の１％／毎月（入居期間中）、他プラン有,合計1.71万円（内訳：消毒施工料（当社扱）（入居時のみ））,町内会費（１ヵ月）　４００円（月額）,［退去時費用　退去費用実費精算※故意・過失等別途実費］　ハウスクリーニング代４０，７００円（退去時）　保険加入義務有　保証会社:保証人代行サービス保証料・家賃集金サービス手数料,https://suumo.jp/chintai/jnc_000091227860/?bc=100384069932
アンゼリカ,1928.104575,59000,5500円,-,-,5.9万円,-,バストイレ別、バルコニー、エアコン、フローリング、シャワー付洗面台、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、シューズボックス、システムキッチン、追焚機能浴室、角住戸、温水洗浄便座、エレベーター、洗面所独立、2口コンロ、CATV、礼金不要、最上階、IHクッキングヒーター、照明付、2沿線利用可、3駅以上利用可、駅徒歩10分以内、東南向き、全居室6畳以上、都市ガス、年内入居可、初期費用カード決済可,大分県大分市大道町１,"ＪＲ日豊本線/大分駅 歩8分
ＪＲ久大本線/古国府駅 歩29分
ＪＲ日豊本線/西大分駅 歩31分",1K,洋7,30.6,-,6階,南東,マンション,鉄筋コン,6階/6階建,築7年,2017年7月,-,敷地内12100円,24年7月下旬,仲介,-,2826650,100385572149,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 １０，０００円／入居時、以降は月額賃料の１％／毎月(入居期間中),合計3.32万円（内訳：消毒施工料:17050円、ファイテック:13860円、アルソックロック:2200円）,ハウスクリーニング代:40700円 町会費400円,-,https://suumo.jp/chintai/jnc_000091227861/?bc=100385572149
アンゼリカ,1713.483146,61000,5000円,-,-,6.1万円,-,バストイレ別、バルコニー、エアコン、フローリング、シャワー付洗面台、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、シューズボックス、システムキッチン、南向き、追焚機能浴室、角住戸、温水洗浄便座、エレベーター、洗面所独立、CATV、即入居可、礼金不要、IHクッキングヒーター、照明付、2沿線利用可、3駅以上利用可、駅徒歩10分以内、都市ガス、初期費用カード決済可,大分県大分市大道町１,"ＪＲ日豊本線/大分駅 歩8分
ＪＲ久大本線/古国府駅 歩29分
ＪＲ日豊本線/西大分駅 歩31分",1LDK,洋4.5 LDK8.1,35.6,-,4階,南,マンション,鉄筋コン,4階/6階建,築7年,2017年7月,1.8万円2年,敷地内12100円,即,仲介,二人入居可,1506905,100376072329,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 １０，０００円／入居時、以降は月額賃料の１％／毎月(入居期間中),合計3.32万円（内訳：消毒施工料:17050円、ファイテック:13860円、アルソックロック:2200円）,町会費400円,駐車場軽区画１１，０００円（要確認）,https://suumo.jp/chintai/jnc_000023264133/?bc=100376072329
アンゼリカ,1763.00578,61000,5500円,6.1万円,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、シャワー付洗面台、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、シューズボックス、角住戸、温水洗浄便座、脱衣所、エレベーター、洗面所独立、2口コンロ、CATV、即入居可、礼金不要、IHクッキングヒーター、全居室洋室、敷金1ヶ月、駅徒歩10分以内、東南向き、オープンキッチン、都市ガス、CATV使用料不要,大分県大分市大道町１,"ＪＲ日豊本線/大分駅 歩9分
ＪＲ久大本線/古国府駅 歩28分
ＪＲ日豊本線/西大分駅 歩31分",1LDK,洋4.5 LDK8.1,34.6,-,4階,南東,アパート,鉄骨鉄筋,4階/6階建,築7年,2017年7月,1.8万円2年,敷地内12100円,即,仲介,-,C03000882-000000000001065-0003,100381977132,-,2024/06/28,次回更新日は情報更新日より８日以内,普通借家 2年,-,保証会社利用必 10000（円）,合計1.71万円（内訳：消毒施工料17050円）,町内会費400円,-,https://suumo.jp/chintai/jnc_000091223562/?bc=100381977132
オーヴィジョン大分駅南,2083.333333,150000,8000円,15万円,30万円,-,-,バストイレ別、バルコニー、ガスコンロ対応、フローリング、浴室乾燥機、オートロック、シューズボックス、システムキッチン、南向き、追焚機能浴室、角住戸、温水洗浄便座、エレベーター、洗面所独立、駐輪場、宅配ボックス、CATV、3口以上コンロ、対面式キッチン、防犯カメラ、駐車場1台無料、全居室収納、オートバス、全居室洋室、敷金1ヶ月、全居室フローリング、LDK15畳以上、ディンプルキー、駅まで平坦、ネット使用料不要、浄水器、床暖房、食器洗乾燥機、ダブルロックキー、24時間換気システム、複層ガラス、平坦地、南面リビング、防音サッシ、クロゼット3ヶ所、耐火構造、前面棟無、ホルムアルデヒド対策、駅徒歩10分以内、バス停徒歩3分以内、二重床構造、二重天井構造、アウトポール工法、折上天井、ゴミ回収サービス、風除室、敷地内ごみ置き場、築5年以内、日勤管理、ガラストップコンロ、都市ガス、三面鏡付洗面化粧台、エコジョーズ、南面バルコニー、礼金2ヶ月,大分県大分市大道町１,ＪＲ日豊本線/大分駅 歩8分,3LDK,洋6.5 洋6 洋5 LDK15.4,72,11.49m2,2階,南,マンション,鉄筋コン,2階/11階建,築5年,2019年12月,要,敷地内10000円,相談,代理,事務所利用不可/ルームシェア不可,-,100369610736,-,2024/06/17,次回更新日は情報更新日より１５日以内,普通借家 2年,1.1ヶ月,保証会社利用必 ジェイリースorもみじカード （初回保証料：月額総賃料の 　50％、月額事務手数料：800円）,-,-,通勤管理,https://suumo.jp/chintai/jnc_000090638803/?bc=100369610736
アンバサダー豊栄,1008.064516,25000,2000円,-,-,-,-,エアコン、オートロック、室内洗濯置、南向き、角住戸、エレベーター、駐輪場、即入居可、照明付、保証人不要、バイク置場、駅まで平坦、事務所相談、始発駅、駅徒歩10分以内、全居室8畳以上、都市ガス、敷金・礼金不要、初期費用カード決済可、家賃カード決済可,大分県大分市大道町２,ＪＲ日豊本線/大分駅 歩8分,ワンルーム,洋9,24.8,-,6階,南,マンション,鉄筋コン,6階/7階建,築39年,1986年3月,要,-,即,代理,単身者可/事務所利用相談,27,100378220762,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,1ヶ月,保証会社利用必 契約時月額総賃料の80％,-,定額水道料:2000円/町内会費:350円/ライフセーブ24:1600円,短期解約違約金あり　退去時メンテナンス費用38，500円,https://suumo.jp/chintai/jnc_000066162766/?bc=100378220762
アンバサダー豊栄,1394.901395,29000,3000円,-,-,-,-,バルコニー、エアコン、フローリング、TVインターホン、オートロック、シューズボックス、システムキッチン、南向き、エレベーター、駐輪場、CATV、即入居可、電気コンロ、バイク置場、2沿線利用可、保証金不要、3駅以上利用可、駅徒歩10分以内、全居室8畳以上、敷金・礼金不要,大分県大分市大道町２,"ＪＲ日豊本線/大分駅 歩7分
ＪＲ久大本線/古国府駅 歩25分
ＪＲ日豊本線/西大分駅 歩34分",ワンルーム,洋10,20.79,-,6階,南,マンション,鉄筋コン,6階/7階建,築39年,1986年3月,1.8万円2年,-,即,仲介,-,2408065,100329106913,19戸,2024/06/28,次回更新日は情報更新日より１５日以内,-,3.19万円,保証会社利用必 ニッポンインシュア株式会社　初回保証料：20、000円、年間保証料10、000円/年,合計10.38万円（内訳：抗菌施工代:17600円、ファイテック:6930円、ＡＬＳＯＫロック:2200円、クリーニング費:38500円、Ｇゼロパック:38500円）,定額水道料:3000円、ぶんきサポート24:1320円 更新事務手数料11000円,-,https://suumo.jp/chintai/jnc_000056578500/?bc=100329106913
セゾン駅南,1388.888889,29000,2000円,-,-,-,-,バストイレ別、バルコニー、エアコン、TVインターホン、室内洗濯置、CATV、電気コンロ、ネット使用料不要、プロパンガス、BS,大分県大分市大道町２,ＪＲ日豊本線/大分駅 歩9分,1K,-,20.88,-,3階,東,マンション,鉄筋コン,3階/5階建,築35年,1989年11月,要,-,相談,仲介,フリーレント1ヶ月,128080303,100366997500,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２８，０００円　更新無,合計8.21万円（内訳：鍵交換代12100円/清掃費24200円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用2400円/月,-,https://suumo.jp/chintai/jnc_000042311713/?bc=100366997500
セゾン駅南,1388.888889,29000,2000円,-,-,-,-,バストイレ別、バルコニー、エアコン、TVインターホン、室内洗濯置、洗面化粧台、CATV、電気コンロ、ネット使用料不要、プロパンガス,大分県大分市大道町２,ＪＲ日豊本線/大分駅 歩9分,1K,-,20.88,-,5階,東,マンション,鉄筋コン,5階/5階建,築35年,1989年11月,要,-,即,仲介,フリーレント1ヶ月,128080506,100355853784,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２８，０００円　更新無,合計8.21万円（内訳：鍵交換代12100円/清掃費24200円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用2400円/月,-,https://suumo.jp/chintai/jnc_000090540835/?bc=100355853784
セゾン駅南,1388.888889,29000,2000円,-,-,-,-,バストイレ別、バルコニー、エアコン、TVインターホン、室内洗濯置、CATV、電気コンロ、ネット使用料不要、プロパンガス、BS,大分県大分市大道町２,ＪＲ日豊本線/大分駅 歩9分,1K,-,20.88,-,5階,東,マンション,鉄筋コン,5階/5階建,築35年,1989年11月,要,-,相談,仲介,フリーレント1ヶ月,128080507,100380623003,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２８，０００円　更新無,合計8.76万円（内訳：鍵交換代17600円/清掃費24200円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用2400円/月,-,https://suumo.jp/chintai/jnc_000058158221/?bc=100380623003
セゾン駅南,1388.888889,29000,2000円,-,-,-,-,バストイレ別、バルコニー、エアコン、室内洗濯置、洗面化粧台、CATV、電気コンロ、ネット使用料不要、プロパンガス,大分県大分市大道町２,ＪＲ日豊本線/大分駅 歩9分,1K,-,20.88,-,2階,東,マンション,鉄筋コン,2階/5階建,築35年,1989年11月,要,-,相談,仲介,フリーレント1ヶ月,128080202,100383467738,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２８，０００円　更新無,合計8.21万円（内訳：鍵交換代12100円/清掃費24200円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用2400円/月,-,https://suumo.jp/chintai/jnc_000090965143/?bc=100383467738
ドリーム一万田,1302.521008,31000,3000円,-,-,-,-,バストイレ別、エアコン、室内洗濯置、駐輪場、最上階、2沿線利用可、保証金不要、3駅以上利用可、駅徒歩10分以内、全居室8畳以上、年内入居可、敷金・礼金不要、初期費用カード決済可,大分県大分市大道町２,"ＪＲ日豊本線/大分駅 歩8分
ＪＲ久大本線/古国府駅 歩29分
ＪＲ日豊本線/西大分駅 歩31分",ワンルーム,洋10,23.8,-,3階,東,アパート,軽量鉄骨,3階/3階建,築29年,1996年3月,1.8万円2年,-,24年7月下旬,仲介,-,2181607,100384124695,7戸,2024/06/28,次回更新日は情報更新日より１５日以内,-,3.41万円,保証会社利用必 株式会社豊後ドリームラボ　初回保証料：総賃料の50％、年間保証料10、000円/年,合計12.17万円（内訳：抗菌施工代:17600円、ファイテック:13860円、ＡＬＳＯＫロック:2200円、鍵交換代:16500円、クリーニング費:33000円、Ｇゼロパック:38500円）,定額水道料:3000円、町費:400円、ぶんきサポート24:1320円 更新事務手数料11000円,-,https://suumo.jp/chintai/jnc_000050566340/?bc=100384124695
大川ハイツ,1058.201058,36000,3000円,-,-,-,-,バルコニー、エアコン、ガスコンロ対応、フローリング、TVインターホン、室内洗濯置、CATV、ネット使用料不要、プロパンガス,大分県大分市大道町２,ＪＲ日豊本線/大分駅 歩8分,1LDK,-,34.02,-,2階,東,マンション,鉄筋コン,2階/4階建,築46年,1978年8月,要,敷地内5500円,相談,仲介,二人入居可/フリーレント1ヶ月,118260205,100384431447,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　３７，２００円　更新無,合計8.21万円（内訳：鍵交換代12100円/清掃費24200円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用400円/月,-,https://suumo.jp/chintai/jnc_000091107120/?bc=100384431447
ビックロード,1666.666667,40000,2000円,-,4万円,-,-,バストイレ別、バルコニー、エアコン、フローリング、室内洗濯置、脱衣所、洗面所独立、駐輪場、CATV、即入居可、敷金不要、照明付、2沿線利用可、ネット専用回線、ネット使用料不要、3駅以上利用可、駅徒歩10分以内、プロパンガス、礼金1ヶ月、初期費用カード決済可,大分県大分市大道町２,"ＪＲ日豊本線/大分駅 歩8分
ＪＲ久大本線/古国府駅 歩26分
ＪＲ日豊本線/西大分駅 歩33分",1K,洋8 K3,24,-,1階,-,マンション,鉄筋コン,1階/5階建,築34年,1990年10月,1.8万円2年,-,即,仲介,-,1595624,100383662952,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 賃貸保証会社加入要　　初回保証料総額賃料の８０％,合計5.02万円（内訳：抗菌施工代:17600円、ファイテック:13860円、アルソックロック:2200円、安心入居サポート:16500円）,水道代2000円　町会費500円,-,https://suumo.jp/chintai/jnc_000027071537/?bc=100383662952
ビックロード,1666.666667,40000,2000円,-,4万円,-,-,バストイレ別、バルコニー、エアコン、フローリング、室内洗濯置、脱衣所、洗面所独立、駐輪場、CATV、即入居可、敷金不要、照明付、2沿線利用可、ネット専用回線、ネット使用料不要、3駅以上利用可、駅徒歩10分以内、プロパンガス、礼金1ヶ月、初期費用カード決済可,大分県大分市大道町２,"ＪＲ日豊本線/大分駅 歩8分
ＪＲ久大本線/古国府駅 歩26分
ＪＲ日豊本線/西大分駅 歩33分",1K,洋8 K3,24,-,3階,-,マンション,鉄筋コン,3階/5階建,築34年,1990年10月,1.8万円2年,-,即,仲介,-,2801226,100383662945,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 賃貸保証会社加入要　　初回保証料総額賃料の８０％,合計5.02万円（内訳：抗菌施工代:17600円、ファイテック:13860円、アルソックロック:2200円、安心入居サポート:16500円）,水道代2000円　町会費500円,-,https://suumo.jp/chintai/jnc_000090000783/?bc=100383662945
EXE大道町,1757.066463,46000,3000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、シャワー付洗面台、オートロック、室内洗濯置、シューズボックス、角住戸、洗面所独立、洗面化粧台、即入居可、全居室洋室、保証人不要、冷蔵庫、二人入居相談、24時間緊急通報システム、全居室フローリング、2沿線利用可、駅まで平坦、洗濯機、ネット使用料不要、1フロア2住戸、事務所相談、平坦地、初期費用20万円以下、電子レンジ、家電付、家具付、2駅利用可、駅前、駅徒歩10分以内、敷地内ごみ置き場、平面駐車場、当社管理物件、全居室6畳以上、全居室8畳以上、プロパンガス、敷金・礼金不要、IT重説 対応物件、LGBTフレンドリー、初期費用カード決済可,大分県大分市大道町２,"ＪＲ日豊本線/大分駅 歩6分
ＪＲ久大本線/古国府駅 歩26分",ワンルーム,洋9,26.18,-,1階,東,マンション,鉄筋コン,1階/4階建,築15年,2010年2月,-,平置駐,即,代理,二人入居可/事務所利用相談,6285205,100374163961,8戸,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 1年,1.1ヶ月,保証会社利用必 初回契約時：70％、月額：2％、月額最低保証料800円、学生契約は初回保証料1万円（月額保証料なし）,合計2.2万円（内訳：入居前殺虫作業　５５００円税込　鍵交換代　１６５００円税込）,Ｔサポートプラス　１６５０円／月額　ハウスクリーニング　４４０００円／退去時　町内会費　４００円／月額,巡回管理/更新時、事務手数料として6000円（税別）／年かかります月額3000円(税別)で家電4点レンタル可能（冷蔵庫・洗濯機・レンジ・掃除機）法人契約は礼金1ヶ月かかります,https://suumo.jp/chintai/jnc_000070043790/?bc=100374163961
アルカーサル大道,1990.728116,73000,8500円,-,8万円,-,-,バストイレ別、バルコニー、エアコン、クロゼット、シャワー付洗面台、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、シューズボックス、システムキッチン、追焚機能浴室、温水洗浄便座、エレベーター、洗面所独立、駐輪場、宅配ボックス、CATV、即入居可、敷金不要、ウォークインクロゼット、バイク置場、カードキー、2沿線利用可、ネット専用回線、ネット使用料不要、保証金不要、3駅以上利用可、駅徒歩10分以内、東南向き、都市ガス、初期費用カード決済可,大分県大分市大道町２,"ＪＲ日豊本線/大分駅 歩8分
ＪＲ久大本線/古国府駅 歩29分
ＪＲ日豊本線/西大分駅 歩32分",1K,洋10 K4.8,36.67,-,6階,南東,マンション,鉄筋コン,6階/10階建,築10年,2015年3月,-,-,即,仲介,-,2704352,100368723422,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 機関保証料：月額総額の３．４％プラス８００円／月,-,更新料1ヵ月　水道代2546円　町会費400円,D-roomCard要加入　65歳以上の方の契約は2年の定期借家契約、機関保証の加入が必須　抗菌施工代:17600円、ファイテック:13860円、アルソックロック:2200円、カードキー発行料:16500円、ICロック電池（初回）:2090円,https://suumo.jp/chintai/jnc_000088807336/?bc=100368723422
アルカーサル大道,1723.051061,82000,7000円,-,7万円,-,-,バストイレ別、バルコニー、エアコン、フローリング、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、追焚機能浴室、角住戸、温水洗浄便座、エレベーター、洗面所独立、2口コンロ、駐輪場、宅配ボックス、CATV、敷金不要、ペット相談、ウォークインクロゼット、保証人不要、カードキー、2沿線利用可、ネット使用料不要、2駅利用可、駅徒歩10分以内、LDK12畳以上、都市ガス、保証会社利用可、IT重説 対応物件、初期費用カード決済可、家賃カード決済可,大分県大分市大道町２,"ＪＲ日豊本線/大分駅 歩7分
ＪＲ久大本線/古国府駅 歩29分
ＪＲ日豊本線/西大分駅 歩29分",1LDK,洋3.7 LDK13.1,47.59,-,1階,南東,マンション,鉄筋コン,1階/10階建,築10年,2015年3月,-,敷地内11550円,24年8月中旬,仲介,二人入居可/子供可/ペット相談,69472429,100387971926,59戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回保証料３５，０００円　月額保証料１％？８００円,合計5.71万円（内訳：カードキー／ＩＣロック電池／ルームクリーニング代等）,上下水道料　３３００円（月額）,初回保証料３５，０００円　月額保証料１％？８００円・ペット飼育時別途費用あり、短期解約違約金あり,https://suumo.jp/chintai/jnc_000063273359/?bc=100387971926
アルカーサル大道,1979.731322,84000,8500円,-,8万円,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、追焚機能浴室、温水洗浄便座、エレベーター、洗面所独立、2口コンロ、駐輪場、宅配ボックス、CATV、敷金不要、ペット相談、ウォークインクロゼット、保証人不要、カードキー、2沿線利用可、ネット使用料不要、2駅利用可、駅徒歩10分以内、都市ガス、保証会社利用可、IT重説 対応物件、家賃カード決済可,大分県大分市大道町２,"ＪＲ日豊本線/大分駅 歩7分
ＪＲ久大本線/古国府駅 歩29分
ＪＲ日豊本線/西大分駅 歩29分",1LDK,洋4.1 LDK11.5,42.43,-,2階,南東,マンション,鉄筋コン,2階/10階建,築10年,2015年3月,-,-,24年6月下旬,仲介,二人入居可/ペット相談,57317693,100372211723,59戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回請求時（保証開始月の翌月）の保証料は月額賃料等×６．８％＋１，６００円　毎月の保証料：月額賃料等×３．４％＋８００円,合計5.05万円（内訳：カードキー／ＩＣロック電池／ルームクリーニング料金等）,上下水道料　３３００円（月額）,・ペット可（飼育の場合は敷金１か月＋ルームクリーニング代必須）　・個人契約の場合、ネット申込必須,https://suumo.jp/chintai/jnc_000089360604/?bc=100372211723
アルカーサル大道,1807.102332,86000,8500円,-,9万円,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、シューズボックス、システムキッチン、追焚機能浴室、角住戸、温水洗浄便座、エレベーター、洗面所独立、2口コンロ、宅配ボックス、CATV、即入居可、敷金不要、ウォークインクロゼット、保証人不要、カードキー、ネット使用料不要、駅徒歩10分以内、敷地内ごみ置き場、東南向き、セキュリティ会社加入済、LDK12畳以上、都市ガス、礼金1ヶ月,大分県大分市大道町２,ＪＲ日豊本線/大分駅 歩8分,1LDK,洋3.7 LDK13.1,47.59,-,4階,南東,マンション,鉄筋コン,4階/10階建,築10年,2015年2月,要,敷地内11000円,即,仲介,単身者可/二人入居可,28698001,100382688422,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 月額賃料等総額の３.４％＋800円/月,-,町費400円／月、鍵交換費9900円／入居時,水道料3300円／月、IC電池2090円・クリーニング費38500円／2年、更新料1ヶ月／2年,https://suumo.jp/chintai/jnc_000069827666/?bc=100382688422
アルカーサル大道,1609.195402,133000,8500円,-,13.3万円,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、追焚機能浴室、角住戸、温水洗浄便座、エレベーター、洗面所独立、2口コンロ、駐輪場、宅配ボックス、CATV、敷金不要、対面式キッチン、全居室洋室、ウォークインクロゼット、保証人不要、カードキー、2面バルコニー、2沿線利用可、LDK15畳以上、ネット使用料不要、2駅利用可、駅徒歩10分以内、LDK12畳以上、都市ガス、礼金1ヶ月、保証会社利用可、IT重説 対応物件、初期費用カード決済可、家賃カード決済可,大分県大分市大道町２,"ＪＲ日豊本線/大分駅 歩7分
ＪＲ久大本線/古国府駅 歩29分
ＪＲ日豊本線/西大分駅 歩29分",3LDK,洋6.3 洋6 洋5.9 LDK16.2,82.65,-,5階,南東,マンション,鉄筋コン,5階/10階建,築10年,2015年3月,-,敷地内12100円/駐2台可,24年8月上旬,仲介,二人入居可/子供可,68928023,100387971930,59戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回保証料３５，０００円　月額保証料１％＋８００円,合計7.86万円（内訳：ルームクリーニング料金／カードキー料金／ＩＣロック電池等）,上下水道料　５５００円（月額）,初回保証料３５，０００円　月額保証料１％＋８００円・短期解約違約金あり,https://suumo.jp/chintai/jnc_000074869687/?bc=100387971930
アーバングリーン大道,853.485064,24000,5000円,-,-,-,-,バルコニー、エアコン、フローリング、TVインターホン、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、エレベーター、駐輪場、CATV、即入居可、最上階、3口以上コンロ、防犯カメラ、IHクッキングヒーター、照明付、全居室収納、分譲賃貸、全居室洋室、ウォークインクロゼット、保証人不要、冷蔵庫、二人入居相談、24時間緊急通報システム、全居室フローリング、デザイナーズ、洗濯機、フリーレント、眺望良好、初期費用10万円以下、外壁コンクリート、ルームシェア相談、電子レンジ、学生相談、家電付、家具付、3駅以上利用可、3沿線以上利用可、敷地内ごみ置き場、当社管理物件、全居室6畳以上、全居室8畳以上、プロパンガス、無垢材使用、ダウンライト、リノベーション、敷金・礼金不要、IT重説 対応物件、LGBTフレンドリー、初期費用カード決済可,大分県大分市大道町４,"ＪＲ久大本線/大分駅 歩14分
ＪＲ豊肥本線/大分駅 歩14分
ＪＲ日豊本線/大分駅 歩14分",ワンルーム,洋11,28.12,-,7階,東,マンション,鉄筋コン,7階/7階建,築39年,1985年12月,-,近隣160m8800円,即,代理,学生希望/二人入居可/子供可/ルームシェア相談/フリーレント1ヶ月,9948360,100382646458,-,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 1年,1.1ヶ月,保証会社利用必 初回契約時：70％、月額：2％、学生契約は1万円,合計1.87万円（内訳：入居前殺虫作業　５５００円税込　鍵交換代　１３２００円税込）,Ｔサポートプラス　１６５０円／月額　更新事務手数料　６６００円／更新時　ハウスクリーニング　３３０００円／退去時　水道料　３３００円／月額　町内会費　４５０円／月額,JR久大本線 古国府駅徒歩27分/巡回管理/※月額3000円（税別）で家電4点レンタル可能（冷蔵庫・洗濯機・レンジ・掃除機）※掲載賃料は減額後のものとなりますのでご注意下さい※減額期間中に解約した場合は減額した期間分の額を違約金としてご請求させていただきます,https://suumo.jp/chintai/jnc_000091343401/?bc=100382646458
アーバングリーン大道,939.8496241,25000,5000円,-,-,-,-,バルコニー、エアコン、ガスコンロ対応、エレベーター、洗面化粧台、駐輪場、押入、CATV、光ファイバー、分譲賃貸、フリーレント、眺望良好、敷地内ごみ置き場、プロパンガス,大分県大分市大道町４,"ＪＲ日豊本線/大分駅 歩14分
大分バス/大道４丁目 歩5分",2K,洋6 洋5 K3,26.6,-,7階,東,マンション,鉄筋コン,7階/7階建,築40年,1985年3月,1.7万円2年,-,即,仲介,事務所利用不可/ルームシェア不可/フリーレント1ヶ月 1年未満の解約の場合、違約金として家賃1ヶ月分をお支払いいただきます。,-,100360504557,86戸,2024/06/20,次回更新日は情報更新日より１５日以内,-,1.1ヶ月,保証会社利用必 ジェイリース　契約時：総家賃の８０％,合計1.21万円（内訳：鍵交換代）,水道料３０００円　区費４５０円　退去時清掃料３０，０００円＋税,巡回管理/室内喫煙不可。 退去時に退去時清掃料３０，０００円＋税。,https://suumo.jp/chintai/jnc_000039714228/?bc=100360504557
コーポ大道,1428.571429,30000,-,-,-,-,-,バストイレ別、バルコニー、エアコン、フローリング、室内洗濯置、シューズボックス、駐輪場、押入、CATV、即入居可、礼金不要、最上階、敷金不要、バイク置場、ネット使用料不要、和室、都市ガス、敷金・礼金不要、保証会社利用可、初期費用カード決済可,大分県大分市大道町５,ＪＲ久大本線/大分駅 歩13分,1K,和6 K3,21,-,5階,東,マンション,鉄筋コン,5階/5階建,築40年,1985年3月,要,敷地内7000円,即,仲介,-,99644433,100374090935,25戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回～総賃料50％　月額～総賃料の1.5％,合計5.72万円（内訳：保証料／入居安心パック等）,水道料　３０００円（月額）／ライフサポート２４Ｍ　１１００円（月額）／その他月額費用　１０２５円（月額）,-,https://suumo.jp/chintai/jnc_000089654004/?bc=100374090935
